DATAFLOW,COMMODITY_SITC,COUNTRY_DEST,STATE_ORIGIN,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:MERCH_EXP(1.0.0),51,TOT,F,M,2026-03,279,AUD,3,,
ABS:MERCH_EXP(1.0.0),51,TOT,F,M,2026-04,1675,AUD,3,,
ABS:MERCH_EXP(1.0.0),247,TOT,F,M,2025-05,0,AUD,3,,
ABS:MERCH_EXP(1.0.0),247,TOT,F,M,2025-12,1,AUD,3,,
ABS:MERCH_EXP(1.0.0),247,TOT,F,M,2026-04,1,AUD,3,,
ABS:MERCH_EXP(1.0.0),882,TOT,TOT,M,2025-05,604,AUD,3,,
ABS:MERCH_EXP(1.0.0),882,TOT,TOT,M,2025-06,715,AUD,3,,
ABS:MERCH_EXP(1.0.0),882,TOT,TOT,M,2025-07,517,AUD,3,,
ABS:MERCH_EXP(1.0.0),882,TOT,TOT,M,2025-08,1101,AUD,3,,
ABS:MERCH_EXP(1.0.0),882,TOT,TOT,M,2025-09,572,AUD,3,,
ABS:MERCH_EXP(1.0.0),882,TOT,TOT,M,2025-10,1169,AUD,3,,
ABS:MERCH_EXP(1.0.0),882,TOT,TOT,M,2025-11,1937,AUD,3,,
ABS:MERCH_EXP(1.0.0),882,TOT,TOT,M,2025-12,742,AUD,3,,
ABS:MERCH_EXP(1.0.0),882,TOT,TOT,M,2026-01,528,AUD,3,,
ABS:MERCH_EXP(1.0.0),882,TOT,TOT,M,2026-02,1529,AUD,3,,
ABS:MERCH_EXP(1.0.0),882,TOT,TOT,M,2026-03,1047,AUD,3,,
ABS:MERCH_EXP(1.0.0),882,TOT,TOT,M,2026-04,1177,AUD,3,,
ABS:MERCH_EXP(1.0.0),931,TOT,3,M,2025-05,6166,AUD,3,,
ABS:MERCH_EXP(1.0.0),931,TOT,3,M,2025-06,5677,AUD,3,,
ABS:MERCH_EXP(1.0.0),931,TOT,3,M,2025-07,6277,AUD,3,,
ABS:MERCH_EXP(1.0.0),931,TOT,3,M,2025-08,9670,AUD,3,,
ABS:MERCH_EXP(1.0.0),931,TOT,3,M,2025-09,6488,AUD,3,,
ABS:MERCH_EXP(1.0.0),931,TOT,3,M,2025-10,8869,AUD,3,,
ABS:MERCH_EXP(1.0.0),931,TOT,3,M,2025-11,9098,AUD,3,,
ABS:MERCH_EXP(1.0.0),931,TOT,3,M,2025-12,7849,AUD,3,,
ABS:MERCH_EXP(1.0.0),931,TOT,3,M,2026-01,4597,AUD,3,,
ABS:MERCH_EXP(1.0.0),931,TOT,3,M,2026-02,6698,AUD,3,,
ABS:MERCH_EXP(1.0.0),931,TOT,3,M,2026-03,5570,AUD,3,,
ABS:MERCH_EXP(1.0.0),931,TOT,3,M,2026-04,4303,AUD,3,,
ABS:MERCH_EXP(1.0.0),016,TOT,5,M,2025-07,12,AUD,3,,
ABS:MERCH_EXP(1.0.0),016,TOT,5,M,2025-09,1,AUD,3,,
ABS:MERCH_EXP(1.0.0),016,TOT,5,M,2025-10,20,AUD,3,,
ABS:MERCH_EXP(1.0.0),016,TOT,5,M,2025-11,4,AUD,3,,
ABS:MERCH_EXP(1.0.0),696,TOT,F,M,2025-05,942,AUD,3,,
ABS:MERCH_EXP(1.0.0),696,TOT,F,M,2025-06,2783,AUD,3,,
ABS:MERCH_EXP(1.0.0),696,TOT,F,M,2025-07,1424,AUD,3,,
ABS:MERCH_EXP(1.0.0),696,TOT,F,M,2025-08,1384,AUD,3,,
ABS:MERCH_EXP(1.0.0),696,TOT,F,M,2025-09,1678,AUD,3,,
ABS:MERCH_EXP(1.0.0),696,TOT,F,M,2025-10,2625,AUD,3,,
ABS:MERCH_EXP(1.0.0),696,TOT,F,M,2025-11,2000,AUD,3,,
ABS:MERCH_EXP(1.0.0),696,TOT,F,M,2025-12,1469,AUD,3,,
ABS:MERCH_EXP(1.0.0),696,TOT,F,M,2026-01,1318,AUD,3,,
ABS:MERCH_EXP(1.0.0),696,TOT,F,M,2026-02,2157,AUD,3,,
ABS:MERCH_EXP(1.0.0),696,TOT,F,M,2026-03,2738,AUD,3,,
ABS:MERCH_EXP(1.0.0),696,TOT,F,M,2026-04,588,AUD,3,,
ABS:MERCH_EXP(1.0.0),56,TOT,3,M,2025-05,47778,AUD,3,,
ABS:MERCH_EXP(1.0.0),56,TOT,3,M,2025-06,114253,AUD,3,,
ABS:MERCH_EXP(1.0.0),56,TOT,3,M,2025-07,91042,AUD,3,,
ABS:MERCH_EXP(1.0.0),56,TOT,3,M,2025-08,70303,AUD,3,,
ABS:MERCH_EXP(1.0.0),56,TOT,3,M,2025-09,34792,AUD,3,,
ABS:MERCH_EXP(1.0.0),56,TOT,3,M,2025-10,51156,AUD,3,,
ABS:MERCH_EXP(1.0.0),56,TOT,3,M,2025-11,40321,AUD,3,,
ABS:MERCH_EXP(1.0.0),56,TOT,3,M,2025-12,41136,AUD,3,,
ABS:MERCH_EXP(1.0.0),56,TOT,3,M,2026-01,1871,AUD,3,,
ABS:MERCH_EXP(1.0.0),56,TOT,3,M,2026-02,6716,AUD,3,,
ABS:MERCH_EXP(1.0.0),56,TOT,3,M,2026-03,2023,AUD,3,,
ABS:MERCH_EXP(1.0.0),56,TOT,3,M,2026-04,2614,AUD,3,,
ABS:MERCH_EXP(1.0.0),04,TOT,2,M,2025-05,230290,AUD,3,,
ABS:MERCH_EXP(1.0.0),04,TOT,2,M,2025-06,172070,AUD,3,,
ABS:MERCH_EXP(1.0.0),04,TOT,2,M,2025-07,117581,AUD,3,,
ABS:MERCH_EXP(1.0.0),04,TOT,2,M,2025-08,127078,AUD,3,,
ABS:MERCH_EXP(1.0.0),04,TOT,2,M,2025-09,149185,AUD,3,,
ABS:MERCH_EXP(1.0.0),04,TOT,2,M,2025-10,185488,AUD,3,,
ABS:MERCH_EXP(1.0.0),04,TOT,2,M,2025-11,149656,AUD,3,,
ABS:MERCH_EXP(1.0.0),04,TOT,2,M,2025-12,115227,AUD,3,,
ABS:MERCH_EXP(1.0.0),04,TOT,2,M,2026-01,194031,AUD,3,,
ABS:MERCH_EXP(1.0.0),04,TOT,2,M,2026-02,211305,AUD,3,,
ABS:MERCH_EXP(1.0.0),04,TOT,2,M,2026-03,193412,AUD,3,,
ABS:MERCH_EXP(1.0.0),04,TOT,2,M,2026-04,155091,AUD,3,,
ABS:MERCH_EXP(1.0.0),666,TOT,3,M,2025-05,45,AUD,3,,
ABS:MERCH_EXP(1.0.0),666,TOT,3,M,2025-06,77,AUD,3,,
ABS:MERCH_EXP(1.0.0),666,TOT,3,M,2025-07,38,AUD,3,,
ABS:MERCH_EXP(1.0.0),666,TOT,3,M,2025-08,49,AUD,3,,
ABS:MERCH_EXP(1.0.0),666,TOT,3,M,2025-09,131,AUD,3,,
ABS:MERCH_EXP(1.0.0),666,TOT,3,M,2025-10,36,AUD,3,,
ABS:MERCH_EXP(1.0.0),666,TOT,3,M,2025-11,27,AUD,3,,
